USER IDENTITY,USER ADDRESS,PRAISE_REWARD,QUANT_REWARD,NR_OF_PRAISES_QUANTIFIED,REWARDBOARD_REWARD,TOTAL TO RECEIVE
karmaticacid#1218,missing user address,131.78622420866205,0.0,0.0,0.0,131.78622420866205
kristofer#1475,0xa32aecda752cf4ef89956e83d60c04835d4fa867,98.83966815649653,0.0,0.0,32.392112,131.23178015649654
pKrepe#5682,missing user address,122.3729224794719,0.0,0.0,0.0,122.3729224794719
GideonRo#3175,0xb08f0ca73e8a59a1b7970e22b8ed2f9142c3fa53,84.24905047625181,36.4993791691752,300.0,0.0,120.74842964542701
MS#4235,missing user address,80.01306469811624,0.0,0.0,0.0,80.01306469811624
ZER8🧠#9093,missing user address,79.54239961165673,0.0,0.0,0.0,79.54239961165673
sem  🐝#0161,missing user address,71.54109314184511,0.0,0.0,0.0,71.54109314184511
ygg_anderson#4998,missing user address,66.36377719079053,0.0,0.0,0.0,66.36377719079053
natesuits#4789,missing user address,63.069121585573974,0.0,0.0,0.0,63.069121585573974
Jolie_Ze#0295,missing user address,50.831829337626786,0.0,0.0,0.0,50.831829337626786
David (please DYOR...)#4116,missing user address,49.89049916470777,0.0,0.0,0.0,49.89049916470777
mateodaza#3156,missing user address,49.419834078248265,0.0,0.0,0.0,49.419834078248265
AmwFund#0979,0x536c7e8f18d09d04697e0d2624b44bba575388c2,13.649287507325711,34.79607480794702,286.0,0.0,48.44536231527273
akrtws (TE Academy)#4246,0x852b8763ecb27beddc190d1792029bc17fd5439a,45.654513386572205,0.0,0.0,0.0,45.654513386572205
markop#2007,0xf27838b0c3ba2eee13b6ed3fe13a90ef7b57a2cc,41.88919269489615,0.0,0.0,0.0,41.88919269489615
innov8tor3#3988,0xbcad90f4a1ed4067d9bc33d4089ff18a82250253,2.8239905187570438,36.4993791691752,300.0,0.0,39.32336968793224
bends#3537,0x1e975f53956d644868f3ea25690b1bbeda658565,2.3533254322975363,36.4993791691752,300.0,0.0,38.85270460147274
ALOYSIOUS#3049,0x1c1bfc1763c8e88fccce1b57eefc79a461fa4944,38.123872003220086,0.0,0.0,0.0,38.123872003220086
r33pich33p#6906,missing user address,37.182541830301076,0.0,0.0,0.0,37.182541830301076
Parrachia#0450,0xe42f8e2c4b778fcd572c55e457ed77db4cb20a69,0.0,36.4993791691752,300.0,0.0,36.4993791691752
lee0007#8152,0x3e31155a1c17c9f85e74828447aec412090a4622,0.0,36.4993791691752,300.0,0.0,36.4993791691752
Maxwe11#7157,0x3f20a6fe04b3a4b37bbbbea826ae23be56baed74,0.0,36.4993791691752,300.0,0.0,36.4993791691752
Mike Brunt#0745,0x457ea659aaabd496550264c6d9d6351666f2fb4b,0.0,36.4993791691752,300.0,0.0,36.4993791691752
missgene#7773,0xbe6f56ed9e10e5f58876f7bdf1c83eedaa721fbc,0.0,36.4993791691752,300.0,0.0,36.4993791691752
Usua◎ Silver#2618,0x914c0e63f98a091e74b7c5e78993bb8de735ae74,0.0,36.4993791691752,300.0,0.0,36.4993791691752
hanners717#2022,0x711cdabcfdedef2c82d9da533268d8bb6b7468f8,0.0,36.4993791691752,300.0,0.0,36.4993791691752
graial#0787,missing user address,35.770546570922555,0.0,0.0,0.0,35.770546570922555
nic#9212,0x88b353202e61fffef56bbfbc2748839e7c707e9f,35.770546570922555,0.0,0.0,0.0,35.770546570922555
🐙 octopus#5508,missing user address,35.29988148446304,0.0,0.0,0.0,35.29988148446304
metaverde#2503,0x8aac40061e258d6e45fd13e214710abdf356285a,33.41722113862502,0.0,0.0,0.0,33.41722113862502
missing username,0x826976d7c600d45fb8287ca1d7c76fc8eb732030,0.0,0.0,0.0,32.392112,32.392112
missing username,0xdd505da2e2a8017f38a715948c6b6a2922ba27f0,0.0,0.0,0.0,32.392112,32.392112
missing username,0xf9c171fb0480fac34289cc5791519fec1d7978c3,0.0,0.0,0.0,32.392112,32.392112
missing username,0x00d18ca9782be1caef611017c2fbc1a39779a57c,0.0,0.0,0.0,32.392112,32.392112
LBS#6541,missing user address,32.005225879246495,0.0,0.0,0.0,32.005225879246495
Vitor Marthendal#0090,missing user address,30.593230619867974,0.0,0.0,0.0,30.593230619867974
solsista#5370,missing user address,30.122565533408466,0.0,0.0,0.0,30.122565533408466
fabiomendes#4802,missing user address,24.47458449589438,0.0,0.0,0.0,24.47458449589438
elessar.eth#7945,missing user address,24.00391940943487,0.0,0.0,0.0,24.00391940943487
casale.eth#6107,missing user address,22.121259063596842,0.0,0.0,0.0,22.121259063596842
hz#8826,0xc19a8a1e9f2059138a3d11a7335fd215694e088a,21.650593977137333,0.0,0.0,0.0,21.650593977137333
zhiwei#1356,0x1f83a7b86480e6142a85558ef6999f6091041906,0.0,21.2913045153522,175.0,0.0,21.2913045153522
teaci#6108,0x1be3505328880f1f204c664d430a9d2817d9d4cc,0.0,19.58800015412402,161.0,0.0,19.58800015412402
rdfbbx#6437,missing user address,19.2972685448398,0.0,0.0,0.0,19.2972685448398
Pythagorean#5361,missing user address,18.82660345838029,0.0,0.0,0.0,18.82660345838029
pat.zip (TE Academy)#5266,0x9f6b969ee3f9c2b0a528b3029049e34bbd4bdb49,18.355938371920786,0.0,0.0,0.0,18.355938371920786
AnaTech#7412,missing user address,17.885273285461277,0.0,0.0,0.0,17.885273285461277
Yineisy Mota#1449,missing user address,17.41460819900177,0.0,0.0,0.0,17.41460819900177
johnjonas#2307,missing user address,17.41460819900177,0.0,0.0,0.0,17.41460819900177
Cesar#2892,missing user address,16.94394311254226,0.0,0.0,0.0,16.94394311254226
gabi#4807,missing user address,16.473278026082756,0.0,0.0,0.0,16.473278026082756
heater#9765,missing user address,16.473278026082752,0.0,0.0,0.0,16.473278026082752
Nebs#2035,missing user address,16.002612939623248,0.0,0.0,0.0,16.002612939623248
Loie#2921,missing user address,15.531947853163741,0.0,0.0,0.0,15.531947853163741
danlessa#2831,missing user address,15.061282766704233,0.0,0.0,0.0,15.061282766704233
mafer_cordovas#1034,missing user address,14.11995259378522,0.0,0.0,0.0,14.11995259378522
osycross(🦎🦎)#5943,0xfe99402763531258875949d449db20157b77ec5c,13.649287507325711,0.0,0.0,0.0,13.649287507325711
Caeser (PST)#0046,missing user address,13.649287507325711,0.0,0.0,0.0,13.649287507325711
mono#9024,missing user address,12.707957334406697,0.0,0.0,0.0,12.707957334406697
